iter	Passed	Remaining
0	136	135881
1	137	68536
2	138	46032
3	140	34876
4	141	28103
5	142	23585
6	143	20351
7	144	17926
8	145	16043
9	146	14540
10	148	13328
11	149	12297
12	150	11425
13	151	10696
14	153	10065
15	154	9507
16	155	9009
17	156	8564
18	162	8365
19	163	8005
20	164	7684
21	166	7382
22	167	7123
23	169	6896
24	172	6710
25	173	6515
26	175	6324
27	177	6150
28	181	6086
29	185	5982
30	186	5829
31	188	5687
32	189	5555
33	191	5434
34	193	5338
35	195	5233
36	196	5125
37	198	5020
38	199	4920
39	201	4843
40	203	4765
41	209	4784
42	214	4771
43	216	4696
44	217	4623
45	219	4551
46	220	4477
47	222	4405
48	223	4338
49	225	4283
50	227	4225
51	229	4182
52	231	4136
53	232	4080
54	234	4028
55	236	3979
56	237	3935
57	239	3886
58	240	3838
59	243	3815
60	245	3781
61	249	3775
62	251	3733
63	253	3705
64	254	3666
65	256	3629
66	258	3599
67	259	3553
68	261	3523
69	263	3503
70	265	3477
71	267	3445
72	269	3420
73	270	3389
74	272	3359
75	273	3328
76	275	3297
77	277	3276
78	280	3270
79	283	3262
80	285	3236
81	287	3220
82	289	3194
83	290	3168
84	291	3141
85	293	3117
86	294	3088
87	297	3088
88	299	3069
89	301	3046
90	302	3024
91	304	3001
92	305	2981
93	306	2958
94	308	2939
95	309	2917
96	311	2901
97	314	2898
98	318	2901
99	320	2883
100	321	2863
101	322	2838
102	324	2824
103	325	2805
104	327	2787
105	328	2773
106	330	2760
107	332	2749
108	334	2737
109	337	2730
110	338	2713
111	340	2696
112	341	2684
113	343	2667
114	344	2653
115	346	2637
116	347	2623
117	353	2640
118	355	2629
119	357	2620
120	359	2614
121	361	2604
122	362	2587
123	366	2589
124	369	2584
125	371	2576
126	373	2565
127	374	2553
128	376	2542
129	386	2584
130	389	2580
131	391	2571
132	394	2569
133	395	2558
134	398	2550
135	408	2593
136	410	2583
137	412	2574
138	414	2565
139	416	2558
140	424	2586
141	427	2585
142	429	2574
143	431	2562
144	432	2549
145	434	2538
146	435	2527
147	438	2521
148	440	2516
149	442	2506
150	443	2494
151	445	2483
152	447	2475
153	448	2464
154	449	2453
155	451	2444
156	453	2435
157	456	2431
158	458	2425
159	460	2416
160	461	2405
161	462	2395
162	465	2388
163	466	2377
164	467	2367
165	469	2360
166	471	2353
167	474	2348
168	477	2346
169	479	2338
170	480	2329
171	482	2320
172	484	2315
173	485	2306
174	487	2298
175	489	2292
176	492	2287
177	494	2285
178	496	2276
179	498	2270
180	499	2258
181	500	2250
182	502	2243
183	504	2235
184	505	2228
185	508	2223
186	510	2218
187	513	2219
188	515	2210
189	516	2203
190	518	2195
191	519	2187
192	521	2182
193	525	2181
194	527	2178
195	531	2179
196	533	2172
197	534	2165
198	535	2157
199	537	2151
200	539	2143
201	540	2135
202	543	2134
203	545	2129
204	550	2133
205	551	2125
206	553	2120
207	555	2113
208	556	2106
209	558	2100
210	560	2094
211	562	2090
212	564	2085
213	566	2081
214	568	2074
215	569	2066
216	571	2063
217	573	2056
218	575	2052
219	576	2044
220	578	2038
221	580	2033
222	582	2028
223	584	2026
224	586	2018
225	587	2011
226	588	2004
227	589	1997
228	591	1990
229	592	1984
230	594	1978
231	595	1971
232	597	1967
233	599	1962
234	601	1958
235	602	1952
236	604	1944
237	605	1938
238	606	1932
239	608	1925
240	609	1918
241	610	1912
242	611	1906
243	613	1899
244	615	1895
245	617	1892
246	620	1892
247	621	1885
248	623	1880
249	624	1873
250	625	1867
251	627	1861
252	628	1855
253	629	1849
254	631	1844
255	632	1838
256	634	1833
257	636	1830
258	638	1826
259	641	1825
260	642	1818
261	643	1812
262	645	1807
263	646	1801
264	647	1795
265	648	1790
266	650	1784
267	651	1778
268	654	1777
269	655	1773
270	658	1771
271	659	1766
272	661	1761
273	662	1756
274	663	1750
275	665	1745
276	666	1740
277	668	1734
278	669	1730
279	670	1724
280	672	1720
281	674	1718
282	677	1715
283	678	1711
284	680	1706
285	681	1700
286	682	1695
287	683	1690
288	685	1685
289	686	1680
290	687	1675
291	688	1670
292	691	1667
293	692	1663
294	694	1660
295	696	1657
296	698	1652
297	699	1647
298	700	1642
299	701	1637
300	703	1632
301	704	1628
302	705	1623
303	706	1618
304	709	1616
305	712	1616
306	715	1614
307	716	1609
308	717	1604
309	718	1600
310	720	1596
311	721	1591
312	722	1586
313	724	1583
314	726	1579
315	727	1575
316	730	1572
317	731	1568
318	734	1567
319	735	1563
320	736	1558
321	738	1554
322	739	1550
323	740	1545
324	742	1542
325	743	1537
326	744	1533
327	747	1531
328	749	1527
329	752	1527
330	753	1522
331	754	1518
332	756	1514
333	757	1510
334	758	1505
335	759	1501
336	761	1498
337	762	1493
338	764	1490
339	765	1486
340	768	1485
341	769	1481
342	771	1476
343	772	1472
344	773	1468
345	774	1464
346	776	1460
347	777	1456
348	778	1452
349	779	1448
350	781	1444
351	783	1441
352	784	1438
353	787	1437
354	788	1433
355	790	1429
356	791	1425
357	792	1421
358	793	1417
359	795	1414
360	796	1410
361	797	1406
362	799	1402
363	800	1399
364	805	1400
365	806	1396
366	808	1393
367	809	1389
368	810	1385
369	811	1382
370	813	1378
371	814	1374
372	815	1371
373	816	1367
374	818	1364
375	821	1362
376	823	1360
377	824	1357
378	826	1353
379	827	1349
380	828	1346
381	829	1342
382	831	1338
383	832	1335
384	833	1331
385	834	1328
386	836	1325
387	838	1322
388	840	1320
389	842	1317
390	843	1314
391	844	1310
392	846	1307
393	847	1303
394	848	1300
395	850	1296
396	851	1293
397	852	1289
398	854	1287
399	856	1284
400	859	1283
401	861	1280
402	862	1278
403	864	1274
404	865	1271
405	866	1268
406	868	1264
407	869	1261
408	870	1258
409	871	1254
410	879	1259
411	881	1258
412	883	1255
413	884	1252
414	885	1248
415	887	1245
416	888	1241
417	889	1238
418	890	1235
419	892	1232
420	895	1231
421	898	1230
422	900	1227
423	901	1224
424	902	1220
425	903	1217
426	905	1214
427	906	1211
428	907	1208
429	909	1204
430	910	1201
431	912	1199
432	914	1197
433	917	1196
434	918	1193
435	920	1190
436	921	1187
437	922	1184
438	924	1181
439	925	1177
440	926	1174
441	927	1171
442	929	1168
443	931	1166
444	934	1164
445	937	1164
446	938	1161
447	939	1158
448	941	1155
449	943	1152
450	944	1149
451	945	1146
452	946	1143
453	948	1140
454	949	1137
455	951	1135
456	954	1134
457	956	1131
458	957	1128
459	958	1125
460	960	1122
461	961	1119
462	962	1116
463	964	1113
464	965	1111
465	967	1108
466	968	1105
467	971	1104
468	974	1103
469	975	1100
470	976	1097
471	978	1094
472	979	1091
473	980	1088
474	981	1085
475	983	1082
476	984	1079
477	985	1076
478	987	1073
479	989	1071
480	992	1070
481	994	1068
482	995	1065
483	996	1062
484	998	1060
485	999	1057
486	1000	1054
487	1002	1051
488	1003	1048
489	1004	1045
490	1006	1043
491	1008	1041
492	1010	1039
493	1013	1038
494	1015	1035
495	1016	1032
496	1018	1030
497	1019	1027
498	1020	1024
499	1021	1021
500	1023	1018
501	1024	1015
502	1025	1013
503	1028	1011
504	1030	1009
505	1031	1007
506	1033	1005
507	1036	1004
508	1041	1004
509	1043	1002
510	1045	1000
511	1047	997
512	1049	996
513	1051	994
514	1053	992
515	1055	989
516	1056	986
517	1058	984
518	1059	982
519	1061	979
520	1062	977
521	1064	974
522	1067	973
523	1070	972
524	1071	969
525	1073	966
526	1074	964
527	1075	961
528	1076	958
529	1078	956
530	1079	953
531	1080	950
532	1082	948
533	1084	946
534	1087	945
535	1091	945
536	1092	942
537	1094	939
538	1095	937
539	1096	934
540	1098	931
541	1099	929
542	1100	926
543	1101	923
544	1104	921
545	1105	919
546	1109	918
547	1110	916
548	1112	913
549	1113	910
550	1114	908
551	1117	906
552	1118	904
553	1119	901
554	1121	898
555	1122	896
556	1125	894
557	1128	894
558	1130	891
559	1131	889
560	1132	886
561	1133	883
562	1135	881
563	1136	878
564	1137	875
565	1138	873
566	1141	871
567	1147	872
568	1149	870
569	1150	868
570	1152	865
571	1153	863
572	1154	860
573	1156	858
574	1157	855
575	1158	852
576	1160	850
577	1163	849
578	1166	848
579	1168	845
580	1169	843
581	1170	840
582	1172	838
583	1173	836
584	1175	833
585	1176	831
586	1178	828
587	1180	827
588	1182	825
589	1185	823
590	1189	822
591	1190	820
592	1193	818
593	1194	816
594	1196	814
595	1204	816
596	1207	814
597	1209	813
598	1213	812
599	1218	812
600	1223	812
601	1225	810
602	1227	807
603	1229	805
604	1231	803
605	1232	801
606	1234	799
607	1239	798
608	1242	797
609	1244	795
610	1246	793
611	1248	791
612	1249	788
